Date,Avg,Avg(A),Avg(B),Avg(C)
2024/9/3 00:00,24.711,28.947,23.578,21.97
2024/9/3 00:01,24.778,29.286,23.396,22.018
2024/9/3 00:02,24.762,28.889,23.938,21.754
2024/9/3 00:03,24.811,28.95,23.77,22.047
2024/9/3 00:04,24.695,28.918,23.521,21.98
2024/9/3 00:05,24.764,29.2,23.793,21.677
2024/9/3 00:06,24.96,29.043,23.802,22.396
2024/9/3 00:07,24.773,29.046,23.77,21.85
2024/9/3 00:08,24.664,29.112,23.546,21.713
2024/9/3 00:09,24.801,28.894,23.753,22.062
2024/9/3 00:10,24.714,29.238,23.65,21.636
2024/9/3 00:11,24.691,28.761,23.606,22.033
2024/9/3 00:12,24.646,29.144,23.35,21.819
2024/9/3 00:13,24.611,28.771,23.56,21.852
2024/9/3 00:14,24.728,29.152,23.435,21.941
2024/9/3 00:15,24.666,29.07,23.636,21.662
2024/9/3 00:16,24.741,29.086,23.624,21.869
2024/9/3 00:17,24.682,28.838,23.811,21.701
2024/9/3 00:18,24.71,29.03,23.601,21.884
2024/9/3 00:19,24.58,28.793,23.497,21.759
2024/9/3 00:20,24.553,29.017,23.212,21.747
2024/9/3 00:21,24.806,28.918,23.85,21.956
2024/9/3 00:22,24.637,28.987,23.797,21.472
2024/9/3 00:23,24.61,29.099,23.424,21.677
2024/9/3 00:24,24.807,28.945,23.763,22.021
2024/9/3 00:25,24.674,28.99,23.816,21.595
2024/9/3 00:26,24.65,28.897,23.288,22.11
2024/9/3 00:27,24.612,29.094,23.638,21.468
2024/9/3 00:28,24.824,28.833,23.733,22.237
2024/9/3 00:29,24.656,29.107,23.451,21.761
2024/9/3 00:30,24.783,28.79,23.94,21.927
2024/9/3 00:31,24.777,29.174,23.509,21.999
2024/9/3 00:32,24.712,28.955,23.811,21.682
2024/9/3 00:33,24.743,29.187,23.426,21.98
2024/9/3 00:34,24.793,28.998,23.61,22.081
2024/9/3 00:35,24.801,29.24,23.77,21.78
2024/9/3 00:36,24.995,28.979,23.915,22.406
2024/9/3 00:37,24.687,29.043,23.587,21.785
2024/9/3 00:38,24.818,29.035,23.906,21.867
2024/9/3 00:39,24.949,29.163,23.684,22.336
2024/9/3 00:40,24.605,29.182,23.315,21.71
2024/9/3 00:41,24.958,28.998,24.118,22.115
2024/9/3 00:42,24.859,29.203,23.705,22.014
2024/9/3 00:43,24.839,29.2,23.59,22.093
2024/9/3 00:44,24.781,29.07,23.643,22.011
